
 num     #instances         #bytes  class name
----------------------------------------------
   1:        911122       91418616  [C
   2:        101878       42906864  [B
   3:        116239       34001712  [I
   4:        442256       27829272  [Ljava.lang.Object;
   5:        795695       19096680  java.lang.String
   6:        299451       11978040  com.intellij.psi.impl.source.tree.LeafPsiElement
   7:         68599        7505040  java.lang.Class
   8:        270113        6482712  com.intellij.util.SmartList
   9:        103348        5787488  com.intellij.psi.impl.source.tree.CompositeElement
  10:        205028        4920672  com.intellij.util.keyFMap.OneElementFMap
  11:        193018        4632432  com.intellij.util.io.StringRef
  12:        142985        4575520  java.util.concurrent.ConcurrentHashMap$Node
  13:         94418        3776720  com.intellij.util.containers.hash.LinkedHashMap$Entry
  14:         58439        3740096  com.intellij.lang.javascript.psi.impl.JSReferenceExpressionImpl
  15:         84918        3396720  com.intellij.psi.impl.source.tree.PsiWhiteSpaceImpl
  16:        105690        3382080  java.util.HashMap$Node
  17:         78786        3151440  java.util.LinkedHashMap$Entry
  18:         78476        3139040  com.intellij.reference.SoftReference
  19:         35373        2838240  [J
  20:         23908        2811984  [Ljava.util.HashMap$Node;
  21:        114294        2743056  java.util.ArrayList
  22:         63528        2541120  com.intellij.psi.impl.java.stubs.impl.PsiModifierListStubImpl
  23:         74307        2377824  com.intellij.util.text.ByteArrayCharSequence
  24:            72        2360448  [Ljava.util.concurrent.ForkJoinTask;
  25:         48686        2336928  com.intellij.lang.javascript.psi.stubs.impl.TypeScriptSingleTypeStubImpl
  26:         25398        2234912  [Lcom.intellij.util.KeyedLazyInstanceEP;
  27:         29523        2125656  java.lang.reflect.Field
  28:         61488        1967616  com.intellij.util.containers.IntObjectLinkedMap$MapEntry
  29:         40128        1926144  java.nio.HeapCharBuffer
  30:         38098        1828704  com.intellij.lang.javascript.psi.stubs.impl.JSAttributeListStubImpl
  31:          7401        1790296  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  32:         57315        1675568  [Ljava.awt.Component;
  33:         34599        1660752  org.jdom.ImmutableElement
  34:         22857        1645704  java.awt.geom.AffineTransform
  35:         34206        1641888  com.intellij.psi.impl.java.stubs.impl.PsiClassReferenceListStubImpl
  36:         43566        1583032  [Ljava.lang.String;
  37:         30927        1484496  net.sourceforge.pmd.lang.java.ast.Token
  38:         15439        1482144  com.intellij.codeInsight.daemon.impl.HighlightInfo
  39:         59433        1426392  com.intellij.psi.impl.cache.TypeInfo
  40:         25159        1408904  com.intellij.psi.impl.java.stubs.impl.PsiMethodStubImpl
  41:         25531        1225488  com.intellij.psi.impl.java.stubs.impl.PsiParameterStubImpl
  42:         37374        1195968  java.util.AbstractList$Itr
  43:         20943        1172808  java.util.concurrent.ConcurrentHashMap$KeyIterator
  44:         29206        1168240  com.intellij.psi.impl.java.stubs.impl.PsiTypeParameterListStubImpl
  45:         28407        1136280  java.security.AccessControlContext
  46:         28240        1129600  java.lang.ref.SoftReference
  47:          5429        1129232  sun.java2d.SunGraphics2D
  48:         23496        1127808  com.intellij.util.containers.ConcurrentWeakKeySoftValueHashMap$SoftValue
  49:         46675        1120200  com.intellij.psi.impl.source.tree.AstPath$ChildPath
  50:         10986        1109096  [Lcom.intellij.util.containers.hash.LinkedHashMap$Entry;
  51:         27365        1094600  gnu.trove.THashSet
  52:         46641        1070576  [Ljava.lang.Class;
  53:         33109        1059488  com.intellij.util.containers.LockFreeCopyOnWriteArrayList$COWIterator
  54:         11872        1044736  java.lang.reflect.Method
  55:         15738        1044264  [Lorg.jdom.Content;
  56:         25159        1006360  com.intellij.psi.impl.java.stubs.impl.PsiParameterListStubImpl
  57:         31375        1004000  com.intellij.util.containers.ConcurrentIntObjectHashMap$Node
  58:         24799         991960  com.intellij.util.containers.ConcurrentWeakKeySoftValueHashMap$WeakKey
  59:         12245         979600  com.intellij.openapi.editor.impl.RangeHighlighterImpl
  60:         17444         976864  com.intellij.lang.javascript.psi.stubs.impl.TypeScriptParameterStubImpl
  61:         29055         929760  com.intellij.psi.impl.PsiCachedValueImpl
  62:         14449         924736  java.util.concurrent.ConcurrentHashMap
  63:         19067         915216  java.util.HashMap
  64:         26522         848704  com.intellij.psi.impl.source.AstPathPsiMap$MyReference
  65:         13023         848568  [D
  66:         21009         840360  com.intellij.psi.impl.source.tree.java.PsiJavaTokenImpl
  67:         17505         840240  gnu.trove.THashMap
  68:         12817         820288  com.intellij.lang.javascript.psi.impl.JSArgumentListImpl
  69:         16480         791040  com.intellij.codeInsight.daemon.impl.LocalInspectionsPass$5
  70:         24364         779648  java.util.Hashtable$Entry
  71:         32063         769512  com.intellij.psi.impl.source.tree.injected.InjectedPsiCachedValueProvider$MyInjProcessor
  72:         11785         754240  com.intellij.lang.javascript.psi.impl.JSBinaryExpressionImpl
  73:         13161         737016  java.util.LinkedHashMap
  74:         18318         732720  com.intellij.psi.css.impl.descriptor.CssCommonDescriptorData
  75:         29388         705312  com.intellij.util.text.ImmutableText$InnerLeaf
  76:         12529         701624  com.intellij.psi.impl.source.tree.java.PsiReferenceParameterListImpl
  77:         28903         693672  com.intellij.openapi.util.Pair
  78:         10770         689280  com.intellij.openapi.editor.impl.RangeHighlighterTree$RHNode
  79:         28042         673008  org.kohsuke.rngom.ast.util.LocatorImpl
  80:         13988         671424  com.intellij.lang.javascript.psi.stubs.impl.TypeScriptPropertySignatureStubImpl
  81:         11962         669872  com.intellij.lang.javascript.psi.stubs.impl.JSParameterStubImpl
  82:         10442         668288  com.intellij.lang.javascript.psi.stubs.impl.JSPropertyStubImpl
  83:         20811         665952  java.util.concurrent.locks.AbstractQueuedSynchronizer$Node
  84:         27591         662184  org.jdom.ImmutableSameTypeAttributeList
  85:         16270         650800  com.intellij.psi.css.impl.descriptor.value.CssValueDescriptorData
  86:         26273         630552  java.util.Arrays$ArrayList
  87:         25993         623832  org.kohsuke.rngom.digested.DAnnotation
  88:          9465         605760  java.util.stream.ReferencePipeline$2
  89:         24864         596736  com.intellij.util.CachedValueBase$Data
  90:         24636         591264  com.intellij.util.SmartList$SingletonIterator
  91:         14043         561720  com.intellij.openapi.extensions.impl.ExtensionComponentAdapter
  92:         13863         554520  com.intellij.psi.impl.source.tree.java.PsiIdentifierImpl
  93:         34592         553472  com.intellij.psi.impl.source.SubstrateRef$StubRef
  94:          9817         549752  java.lang.invoke.MemberName
  95:         17046         545472  com.intellij.util.indexing.impl.ChangeTrackingValueContainer
  96:         11183         536784  com.intellij.util.containers.ConcurrentIntKeySoftValueHashMap$MyRef
  97:          8285         530240  java.net.URL
  98:         11046         530208  com.intellij.util.pico.CachingConstructorInjectionComponentAdapter
  99:         16490         527680  com.intellij.codeInspection.LocalInspectionToolSession
 100:         21478         515472  com.intellij.psi.util.CachedValuesManager$$Lambda$1135/312702771
 101:          7068         508896  com.intellij.psi.impl.source.PsiJavaCodeReferenceElementImpl
 102:         20857         500568  java.lang.StringBuilder
 103:         31251         500016  java.lang.Integer
 104:         15412         493184  org.jdom.Attribute
 105:          8785         491960  com.intellij.psi.impl.java.stubs.impl.PsiFieldStubImpl
 106:         20242         485808  com.intellij.openapi.util.TextRange
 107:          7486         479104  java.util.regex.Matcher
 108:         14968         478976  com.intellij.psi.impl.source.tree.AstPath$MilestoneChildPath
 109:         14574         466368  java.lang.ref.WeakReference
 110:         11166         446640  com.intellij.codeInspection.ex.ScopeToolState
 111:          6960         445440  com.intellij.openapi.actionSystem.Presentation
 112:         10966         438640  org.jdom.Element
 113:          6799         435136  com.intellij.lang.javascript.psi.stubs.impl.JSDefinitionExpressionStubImpl
 114:          5407         432560  java.lang.reflect.Constructor
 115:         10540         421600  com.intellij.psi.infos.CandidateInfo
 116:          2603         420144  [S
 117:         17418         418032  com.intellij.util.containers.ImmutableList$Itr
 118:         10440         417600  com.intellij.psi.impl.PsiCachedValuesFactory$3
 119:         17220         413280  com.intellij.util.indexing.impl.ValueContainerImpl
 120:          7376         413056  com.intellij.psi.impl.source.PsiImmediateClassType
 121:         17045         409080  com.intellij.util.indexing.impl.MapIndexStorage$3$1
 122:         10161         406440  java.util.TreeMap$Entry
 123:         12581         402592  com.intellij.util.keyFMap.PairElementsFMap
 124:         10058         402320  com.intellij.lang.javascript.psi.stubs.impl.TypeScriptParameterListStubImpl
 125:         12423         397536  gnu.trove.TObjectHashIterator
 126:         12413         397216  org.jdom.ContentList
 127:         12389         396448  org.jdom.AttributeList
 128:         16436         394464  java.util.Collections$1
 129:            33         388624  [Lcom.intellij.util.containers.IntObjectLinkedMap$MapEntry;
 130:          9705         388200  com.intellij.openapi.vfs.newvfs.impl.VirtualDirectoryImpl
 131:          6919         387464  java.util.stream.ReferencePipeline$Head
 132:          9482         379280  java.lang.invoke.MethodType
 133:          6700         375200  com.intellij.lang.javascript.psi.stubs.impl.JSFunctionExpressionStubImpl
 134:          5207         374904  com.intellij.psi.impl.source.tree.java.PsiReferenceExpressionImpl
 135:         23398         374368  java.util.Collections$SingletonSet
 136:         11642         372544  org.kohsuke.rngom.digested.DRefPattern
 137:         11634         372288  java.awt.Insets
 138:          9240         369600  com.intellij.util.ui.JBUI$ScaleContext
 139:         22729         363664  java.lang.Object
 140:         11169         357408  com.intellij.util.containers.ConcurrentWeakValueHashMap$MyWeakReference
 141:         11166         357312  com.intellij.codeInspection.ex.ToolsImpl
 142:          3298         353424  [Ljava.util.Hashtable$Entry;
 143:          7352         352896  com.intellij.util.containers.ConcurrentSoftValueHashMap$MySoftReference
 144:         14689         352536  com.intellij.codeInspection.SuppressionUtil$$Lambda$4169/805810776
 145:         10932         349824  com.intellij.psi.css.impl.descriptor.value.CssNameValue
 146:          8745         349800  com.intellij.psi.impl.compiled.ClsMethodImpl
 147:         14135         345832  [Lnet.sourceforge.pmd.lang.ast.Node;
 148:          3905         343640  com.intellij.openapi.editor.impl.view.VisualLineFragmentsIterator
 149:          2216         343472  [[I
 150:          5338         341632  com.intellij.lang.javascript.psi.impl.JSExpressionStatementImpl
 151:          6053         338968  com.intellij.lang.javascript.psi.stubs.impl.TypeScriptFunctionSignatureStubImpl
 152:          8202         329280  [Lorg.jdom.Attribute;
 153:          8167         326680  com.intellij.lang.javascript.psi.stubs.impl.JSParameterListStubImpl
 154:         10162         325184  com.intellij.psi.impl.source.resolve.reference.ProviderBinding$ProviderInfo
 155:          5036         322304  java.util.stream.ReferencePipeline$3
 156:          6700         321600  com.intellij.util.containers.SmartHashSet
 157:         13350         320400  com.intellij.psi.impl.compiled.ClsMemberImpl$2
 158:          4364         314208  com.intellij.lang.javascript.psi.impl.JSBlockStatementImpl
 159:          3007         312728  sun.awt.image.IntegerInterleavedRaster
 160:          9678         309696  java.awt.Rectangle
 161:          9629         308128  com.intellij.openapi.vfs.newvfs.impl.VirtualFileImpl
 162:          3499         307976  [Lcom.intellij.psi.impl.source.tree.CompositeElement;
 163:         12806         307344  com.intellij.psi.impl.compiled.ClsModifierListImpl
 164:          9486         303552  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry
 165:          6610         301056  [F
 166:          6264         300672  java.awt.geom.Rectangle2D$Double
 167:          1147         298544  [Lcom.intellij.util.containers.ConcurrentIntObjectHashMap$Node;
 168:          6109         293232  com.intellij.psi.impl.java.stubs.impl.PsiAnnotationStubImpl
 169:          5182         290192  java.lang.Package
 170:          4532         290048  java.awt.event.InvocationEvent
 171:         12076         289824  com.intellij.openapi.vfs.newvfs.impl.VfsData$DirectoryData
 172:         12005         288120  com.intellij.patterns.StringPattern
 173:         17962         287392  com.intellij.openapi.vfs.newvfs.impl.FileNameCache$$Lambda$107/2104455243
 174:          5113         286328  com.intellij.util.containers.SLRUMap$1
 175:          5113         286328  com.intellij.util.containers.SLRUMap$2
 176:          4380         280320  com.intellij.util.concurrency.SchedulingWrapper$MyScheduledFutureTask
 177:          3873         278856  com.intellij.spring.boot.application.metadata.SpringBootApplicationMetaConfigKeyImpl
 178:          4357         278848  com.intellij.lang.javascript.psi.impl.JSCommaExpressionImpl
 179:          6799         271960  com.intellij.lang.javascript.psi.stubs.impl.JSAssignmentExpressionStubImpl
 180:          8217         262944  java.util.concurrent.SynchronousQueue$TransferStack$SNode
 181:          9883         262104  [Ljava.security.ProtectionDomain;
 182:         10830         259920  com.intellij.openapi.util.UnfairTextRange
 183:         10739         257736  com.intellij.util.containers.ConcurrentFactoryMap$4
 184:         10650         255600  com.intellij.openapi.util.ProperTextRange
 185:         10582         253968  java.beans.PropertyChangeSupport
 186:         15496         247936  java.lang.Boolean
 187:          3833         245312  com.intellij.psi.impl.source.tree.injected.InjectionRegistrarImpl
 188:          7641         244512  com.intellij.psi.impl.TypeCorrector$PsiCorrectedClassType
 189:         10139         243328  [Lcom.intellij.psi.JavaResolveResult;
 190:          7456         238592  com.intellij.lang.javascript.psi.impl.JSPropertyImpl
 191:          7445         238240  com.intellij.patterns.TreeElementPattern$4
 192:          8297         236624  [Lcom.intellij.psi.PsiMethod;
 193:          9811         235464  java.util.Collections$UnmodifiableRandomAccessList
 194:          7158         229056  java.lang.invoke.DirectMethodHandle
 195:          7157         229024  java.lang.StackTraceElement
 196:          7153         228896  com.intellij.openapi.editor.impl.view.LineLayout$BidiRun
 197:         10726         228824  [Lcom.intellij.openapi.editor.impl.view.LineLayout$Chunk;
 198:          9465         227160  java.util.stream.ReferencePipeline$2$1
 199:          4049         226744  com.intellij.psi.impl.java.stubs.impl.PsiClassStubImpl
 200:          9436         226464  com.intellij.codeInspection.ex.LocalInspectionToolWrapper
 201:          5635         225400  com.intellij.psi.impl.source.resolve.reference.impl.providers.JavaClassReference
 202:          6974         223168  com.intellij.psi.impl.smartPointers.SmartPsiElementPointerImpl
 203:          9236         221664  java.util.Collections$SingletonList
 204:          5496         219840  com.intellij.lang.javascript.psi.stubs.impl.TypeScriptUnionOrIntersectionTypeStubImpl
 205:          3905         218680  com.intellij.openapi.editor.impl.view.LineLayout$VisualOrderIterator
 206:          5366         214640  com.intellij.util.containers.WeakHashMap$WeakKey
 207:         12815         205040  com.intellij.util.containers.LockFreeCopyOnWriteArrayList
 208:          6340         202880  java.lang.ThreadLocal$ThreadLocalMap$Entry
 209:          8314         199536  java.awt.Point
 210:          4979         199160  com.intellij.lang.javascript.psi.impl.JSFunctionExpressionImpl
 211:          4934         197360  com.intellij.psi.impl.TypeCorrector$CorrectedResolveResult
 212:          6162         197184  com.intellij.lang.javascript.psi.ecmal4.impl.JSAttributeListImpl
 213:          2237         196856  net.sourceforge.pmd.lang.java.ast.ASTPrimaryPrefix
 214:         12293         196688  com.intellij.openapi.util.Ref
 215:          3459         193704  com.intellij.lang.javascript.psi.stubs.impl.JSVariableStubImpl
 216:          8047         193128  com.intellij.patterns.XmlAttributeValuePattern
 217:           548         192896  com.intellij.ui.components.JBScrollPane$Corner
 218:          8024         192576  com.intellij.ide.impl.DataManagerImpl$1
 219:          2868         192000  [Z
 220:          7753         186072  com.intellij.patterns.ObjectPattern$4
 221:          7690         184560  com.intellij.psi.impl.compiled.ClsMethodImpl$1
 222:          4571         182840  com.intellij.psi.impl.source.tree.AstBufferUtil$BufferVisitor
 223:          5617         179744  java.util.ArrayList$Itr
 224:          2237         178960  net.sourceforge.pmd.lang.java.ast.ASTPrimaryExpression
 225:          4455         178200  com.intellij.openapi.actionSystem.AnActionEvent
 226:          3703         177744  java.awt.event.ActionEvent
 227:          7395         177480  com.intellij.util.indexing.containers.ChangeBufferingList
 228:          7378         177072  com.intellij.psi.stubs.StubIdList
 229:          5494         175808  java.io.File
 230:          1826         175296  com.intellij.codeInspection.LocalInspectionEP
 231:          4380         175200  org.jetbrains.kotlin.protobuf.SmallSortedMap$1
 232:          5770         173792  [Lcom.intellij.psi.PsiMember;
 233:           500         172000  javax.swing.JPanel
 234:          7152         171640  [Lcom.intellij.openapi.editor.impl.view.LineLayout$BidiRun;
 235:          7133         171192  com.intellij.psi.impl.source.tree.injected.InjectedLanguageUtil$$Lambda$2114/1793017709
 236:          7126         171024  java.awt.AWTEventMulticaster
